Rank,Title,Genre,Year,Revenue (Millions),Metascore,Votes
408,Tangled,"Animation,Adventure,Comedy",2010,200.81,71,316459
409,The Hunger Games: Mockingjay - Part 2,"Action,Adventure,Sci-Fi",2015,281.67,65,202380
410,Vacation,"Adventure,Comedy",2015,58.88,34,74589
411,Taken,"Action,Thriller",2008,145,50,502961
412,Pitch Perfect 2,"Comedy,Music",2015,183.44,63,108306
413,Monsters University,"Animation,Adventure,Comedy",2013,268.49,65,252119
414,Elle,"Crime,Drama,Thriller",2016,,89,35417
415,Mechanic: Resurrection,"Action,Adventure,Crime",2016,21.2,38,48161
416,Tusk,"Comedy,Drama,Horror",2014,1.82,55,34546
417,The Headhunter's Calling,Drama,2016,,85,164
418,Atonement,"Drama,Mystery,Romance",2007,50.92,,202890
419,Harry Potter and the Deathly Hallows: Part 1,"Adventure,Family,Fantasy",2010,294.98,65,357213
420,Shame,Drama,2011,4,72,155010
421,Hanna,"Action,Drama,Thriller",2011,40.25,65,164208
422,The Babysitters,Drama,2007,0.04,35,8914
423,Pride and Prejudice and Zombies,"Action,Horror,Romance",2016,10.91,45,35003
424,300: Rise of an Empire,"Action,Drama,Fantasy",2014,106.37,48,237887
425,London Has Fallen,"Action,Crime,Drama",2016,62.4,28,100702
426,The Curious Case of Benjamin Button,"Drama,Fantasy,Romance",2008,127.49,70,485075
427,Sin City: A Dame to Kill For,"Action,Crime,Thriller",2014,13.75,46,122185
428,The Bourne Ultimatum,"Action,Mystery,Thriller",2007,227.14,85,525700
429,Srpski film,"Horror,Mystery,Thriller",2010,,55,43648
430,The Purge: Election Year,"Action,Horror,Sci-Fi",2016,79,,54216
431,3 Idiots,"Comedy,Drama",2009,6.52,67,238789
432,Zoolander 2,Comedy,2016,28.84,34,48297
433,World War Z,"Action,Adventure,Horror",2013,202.35,63,494819
434,Mission: Impossible - Ghost Protocol,"Action,Adventure,Thriller",2011,209.36,73,382459
435,Let Me Make You a Martyr,"Action,Crime,Drama",2016,,56,223
436,Filth,"Comedy,Crime,Drama",2013,0.03,,81301
437,The Longest Ride,"Drama,Romance",2015,37.43,33,58421
438,The imposible,"Drama,Thriller",2012,19,73,156189
439,Kick-Ass 2,"Action,Comedy,Crime",2013,28.75,41,214825
440,Folk Hero & Funny Guy,Comedy,2016,,63,220
441,Oz the Great and Powerful,"Adventure,Family,Fantasy",2013,234.9,44,181521
442,Brooklyn,"Drama,Romance",2015,38.32,87,94977
443,Coraline,"Animation,Family,Fantasy",2009,75.28,80,156620
444,Blue Valentine,"Drama,Romance",2010,9.7,81,151409
445,The Thinning,Thriller,2016,,31,4531
446,Silent Hill,"Adventure,Horror,Mystery",2006,46.98,,184152
447,Dredd,"Action,Sci-Fi",2012,13.4,59,213764
448,Hunt for the Wilderpeople,"Adventure,Comedy,Drama",2016,5.2,81,52331
449,Big Hero 6,"Animation,Action,Adventure",2014,222.49,74,309186
450,Carrie,"Drama,Horror",2013,35.27,53,113272
451,Iron Man 2,"Action,Adventure,Sci-Fi",2010,312.06,57,556666
452,Demolition,"Comedy,Drama",2015,1.82,49,58720
453,Pandorum,"Action,Horror,Mystery",2009,10.33,28,126656
454,Olympus Has Fallen,"Action,Thriller",2013,98.9,41,214994
455,I Am Number Four,"Action,Adventure,Sci-Fi",2011,55.09,36,202682
456,Jagten,Drama,2012,0.61,76,192263
457,The Proposal,"Comedy,Drama,Romance",2009,163.95,48,241709
458,Get Hard,"Comedy,Crime",2015,90.35,34,95119
459,Just Go with It,"Comedy,Romance",2011,103.03,33,182069
460,Revolutionary Road,"Drama,Romance",2008,22.88,69,159736
461,The Town,"Crime,Drama,Thriller",2010,92.17,74,294553
462,The Boy,"Horror,Mystery,Thriller",2016,35.79,42,51235
463,Denial,"Biography,Drama",2016,4.07,63,8229
464,Predestination,"Drama,Mystery,Sci-Fi",2014,,69,187760
465,Goosebumps,"Adventure,Comedy,Family",2015,80.02,60,57602
466,Sherlock Holmes: A Game of Shadows,"Action,Adventure,Crime",2011,186.83,48,357436
467,Salt,"Action,Crime,Mystery",2010,118.31,65,255813
468,Enemy,"Mystery,Thriller",2013,1.01,61,111558
469,District 9,"Action,Sci-Fi,Thriller",2009,115.65,81,556794
470,The Other Guys,"Action,Comedy,Crime",2010,119.22,64,199900
471,American Gangster,"Biography,Crime,Drama",2007,130.13,76,337835
472,Marie Antoinette,"Biography,Drama,History",2006,15.96,65,83941
473,2012,"Action,Adventure,Sci-Fi",2009,166.11,49,297984
474,Harry Potter and the Half-Blood Prince,"Adventure,Family,Fantasy",2009,301.96,78,351059
475,Argo,"Biography,Drama,History",2012,136.02,86,481274
476,Eddie the Eagle,"Biography,Comedy,Drama",2016,15.79,54,56332
477,The Lives of Others,"Drama,Thriller",2006,11.28,89,278103
478,Pet,"Horror,Thriller",2016,,48,8404
479,Paint It Black,Drama,2016,,71,61
480,Macbeth,"Drama,War",2015,,71,41642
481,Forgetting Sarah Marshall,"Comedy,Drama,Romance",2008,62.88,67,226619
482,The Giver,"Drama,Romance,Sci-Fi",2014,45.09,47,93799
483,Triple 9,"Action,Crime,Drama",2016,12.63,52,48400
484,Perfetti sconosciuti,"Comedy,Drama",2016,,43,17584
485,Angry Birds,"Animation,Action,Adventure",2016,107.51,,55781
486,Moonrise Kingdom,"Adventure,Comedy,Drama",2012,45.51,84,254446
487,Hairspray,"Comedy,Drama,Family",2007,118.82,81,102954
488,Safe Haven,"Drama,Romance,Thriller",2013,71.35,34,84765
489,Focus,"Comedy,Crime,Drama",2015,53.85,56,166489
490,Ratatouille,"Animation,Comedy,Family",2007,206.44,96,504039
491,Stake Land,"Drama,Horror,Sci-Fi",2010,0.02,66,36091
492,The Book of Eli,"Action,Adventure,Drama",2010,94.82,53,241359
493,Cloverfield,"Action,Horror,Sci-Fi",2008,80.03,64,313803
494,Point Break,"Action,Crime,Sport",2015,28.77,34,44553
495,Under the Skin,"Drama,Horror,Sci-Fi",2013,2.61,78,94707
496,I Am Legend,"Drama,Horror,Sci-Fi",2007,256.39,65,565721
497,Men in Black 3,"Action,Adventure,Comedy",2012,179.02,58,278379
498,Super 8,"Mystery,Sci-Fi,Thriller",2011,126.98,72,298913
499,Law Abiding Citizen,"Crime,Drama,Thriller",2009,73.34,34,228339
500,Up,"Animation,Adventure,Comedy",2009,292.98,88,722203
501,Maze Runner: The Scorch Trials,"Action,Sci-Fi,Thriller",2015,81.69,43,159364
502,Carol,"Drama,Romance",2015,0.25,95,77995
503,Imperium,"Crime,Drama,Thriller",2016,,68,27428
504,Youth,"Comedy,Drama,Music",2015,2.7,64,52636
505,Mr. Nobody,"Drama,Fantasy,Romance",2009,,63,166872
506,City of Tiny Lights,"Crime,Drama,Thriller",2016,,54,291
507,Savages,"Crime,Drama,Thriller",2012,47.31,59,107960
508,(500) Days of Summer,"Comedy,Drama,Romance",2009,32.39,76,398972
509,Movie 43,"Comedy,Romance",2013,8.83,18,83625
510,Gravity,"Drama,Sci-Fi,Thriller",2013,274.08,96,622089
511,The Boy in the Striped Pyjamas,"Drama,War",2008,9.03,55,144614
512,Shooter,"Action,Crime,Drama",2007,46.98,53,267820
513,The Happening,"Sci-Fi,Thriller",2008,64.51,34,170897
514,Bone Tomahawk,"Adventure,Drama,Horror",2015,66.01,72,47289
515,Magic Mike XXL,"Comedy,Drama,Music",2015,,60,42506
516,Easy A,"Comedy,Drama,Romance",2010,58.4,72,294950
517,Exodus: Gods and Kings,"Action,Adventure,Drama",2014,65.01,52,137299
518,Chappie,"Action,Crime,Drama",2015,31.57,41,188769
519,The Hobbit: The Desolation of Smaug,"Adventure,Fantasy",2013,258.36,66,513744
520,Half of a Yellow Sun,"Drama,Romance",2013,0.05,51,1356
521,Anthropoid,"Biography,History,Thriller",2016,2.96,59,24100
522,The Counselor,"Crime,Drama,Thriller",2013,16.97,48,84927
523,Viking,"Action,Drama,History",2016,23.05,57,1830
524,Whiskey Tango Foxtrot,"Biography,Comedy,Drama",2016,,,36156
525,Trust,"Crime,Drama,Thriller",2010,0.06,60,36043
526,Birth of the Dragon,"Action,Biography,Drama",2016,93.05,61,552
527,Elysium,"Action,Drama,Sci-Fi",2013,,,358932
528,The Green Inferno,"Adventure,Horror",2013,7.19,38,26461
529,Godzilla,"Action,Adventure,Sci-Fi",2014,200.66,62,318058
530,The Bourne Legacy,"Action,Adventure,Mystery",2012,113.17,61,245374
531,A Good Year,"Comedy,Drama,Romance",2006,7.46,47,74674
532,Friend Request,"Horror,Thriller",2016,64.03,59,12758
533,Deja Vu,"Action,Sci-Fi,Thriller",2006,,,253858
534,Lucy,"Action,Sci-Fi,Thriller",2014,126.55,61,352698
535,A Quiet Passion,"Biography,Drama",2016,1.08,77,1024
536,Need for Speed,"Action,Crime,Drama",2014,43.57,39,143389
537,Jack Reacher,"Action,Crime,Mystery",2012,58.68,50,250811
538,The Do-Over,"Action,Adventure,Comedy",2016,0.54,22,24761
539,True Crimes,"Crime,Drama,Thriller",2016,,43,198
540,American Pastoral,"Crime,Drama",2016,,,7115
541,The Ghost Writer,"Mystery,Thriller",2010,15.52,77,137964
542,Limitless,"Mystery,Sci-Fi,Thriller",2011,79.24,59,444417
543,Spectral,"Action,Mystery,Sci-Fi",2016,,39,27042
544,P.S. I Love You,"Drama,Romance",2007,53.68,,177247
545,Zipper,"Drama,Thriller",2015,,39,4912
546,Midnight Special,"Drama,Mystery,Sci-Fi",2016,3.71,76,54787
547,Don't Think Twice,"Comedy,Drama",2016,4.42,83,10485
548,Alice in Wonderland,"Adventure,Family,Fantasy",2010,334.19,53,324898
549,Chuck,"Biography,Drama,Sport",2016,0.11,68,391
550,"I, Daniel Blake",Drama,2016,,77,22941
551,The Break-Up,"Comedy,Drama,Romance",2006,118.68,45,106381
552,Loving,"Biography,Drama,Romance",2016,7.7,79,17141
553,Fantastic Four,"Action,Adventure,Sci-Fi",2015,56.11,27,121847
554,The Survivalist,"Drama,Sci-Fi,Thriller",2015,,80,9187
555,Colonia,"Drama,Romance,Thriller",2015,,33,30074
556,The Boy Next Door,"Mystery,Thriller",2015,35.39,30,30180
557,The Gift,"Mystery,Thriller",2015,43.77,77,96688
558,Dracula Untold,"Action,Drama,Fantasy",2014,55.94,40,148504
559,In the Heart of the Sea,"Action,Adventure,Biography",2015,24.99,47,90372
560,Idiocracy,"Adventure,Comedy,Sci-Fi",2006,0.44,66,115355
561,The Expendables,"Action,Adventure,Thriller",2010,102.98,45,283282
562,Evil Dead,"Fantasy,Horror",2013,54.24,57,133113
563,Sinister,"Horror,Mystery",2012,48.06,53,171169
564,Wreck-It Ralph,"Animation,Adventure,Comedy",2012,189.41,72,290559
565,Snow White and the Huntsman,"Action,Adventure,Drama",2012,155.11,57,239772
566,Pan,"Adventure,Family,Fantasy",2015,34.96,36,47804
567,Transformers: Dark of the Moon,"Action,Adventure,Sci-Fi",2011,352.36,42,338369
568,Juno,"Comedy,Drama",2007,143.49,81,432461
569,A Hologram for the King,"Comedy,Drama",2016,4.2,58,26521
570,Money Monster,"Crime,Drama,Thriller",2016,41.01,55,68654
571,The Other Woman,"Comedy,Romance",2014,83.91,39,110825
572,Enchanted,"Animation,Comedy,Family",2007,127.71,75,150353
573,The Intern,"Comedy,Drama",2015,75.27,51,159582
574,Little Miss Sunshine,"Comedy,Drama",2006,59.89,80,374044
575,Bleed for This,"Biography,Drama,Sport",2016,4.85,62,11900
576,Clash of the Titans,"Action,Adventure,Fantasy",2010,163.19,39,238206
577,The Finest Hours,"Action,Drama,History",2016,27.55,58,44425
578,Tron,"Action,Adventure,Sci-Fi",2010,172.05,49,273959
579,The Hunger Games: Catching Fire,"Action,Adventure,Mystery",2013,424.65,76,525646
580,All Good Things,"Crime,Drama,Mystery",2010,0.58,57,44158
581,Kickboxer: Vengeance,Action,2016,131.56,37,6809
582,The Last Airbender,"Action,Adventure,Family",2010,,20,125129
583,Sex Tape,"Comedy,Romance",2014,38.54,36,89885
584,What to Expect When You're Expecting,"Comedy,Drama,Romance",2012,41.1,41,60059
585,Moneyball,"Biography,Drama,Sport",2011,75.61,87,297395
586,Ghost Rider,"Action,Fantasy,Thriller",2007,115.8,35,190673
587,Unbroken,"Biography,Drama,Sport",2014,115.6,59,114006
588,Immortals,"Action,Drama,Fantasy",2011,83.5,46,142900
589,Sunshine,"Adventure,Sci-Fi,Thriller",2007,3.68,64,199860
590,Brave,"Animation,Adventure,Comedy",2012,237.28,69,293941
591,Män som hatar kvinnor,"Drama,Mystery,Thriller",2009,10.1,76,182074
592,Adoration,"Drama,Romance",2013,0.32,37,25208
593,The Drop,"Crime,Drama,Mystery",2014,10.72,69,116118
594,She's the Man,"Comedy,Romance,Sport",2006,2.34,45,122864
595,Daddy's Home,"Comedy,Family",2015,150.32,42,68306
596,Let Me In,"Drama,Horror,Mystery",2010,12.13,79,97141
597,Never Back Down,"Action,Drama,Sport",2008,24.85,39,84083
598,Grimsby,"Action,Adventure,Comedy",2016,6.86,44,63408
599,Moon,"Drama,Mystery,Sci-Fi",2009,5.01,67,277123
600,Megamind,"Animation,Action,Comedy",2010,148.34,63,183926
601,Gangster Squad,"Action,Crime,Drama",2013,46,40,181432
602,Blood Father,"Action,Crime,Drama",2016,93.95,66,40357
603,He's Just Not That Into You,"Comedy,Drama,Romance",2009,,47,137684
604,Kung Fu Panda 3,"Animation,Action,Adventure",2016,143.52,66,89791
605,The Rise of the Krays,"Crime,Drama",2015,6.53,90,1630
606,Handsome Devil,Drama,2016,,,338
607,Winter's Bone,Drama,2010,,,116435
608,Horrible Bosses,"Comedy,Crime",2011,117.53,57,368556
609,Mommy,Drama,2014,3.49,74,33560
610,Hellboy II: The Golden Army,"Action,Adventure,Fantasy",2008,75.75,78,216932
611,Beautiful Creatures,"Drama,Fantasy,Romance",2013,19.45,52,71822
612,Toni Erdmann,"Comedy,Drama",2016,1.48,93,24387
613,The Lovely Bones,"Drama,Fantasy,Thriller",2009,43.98,42,130702
614,The Assassination of Jesse James by the Coward Robert Ford,"Biography,Crime,Drama",2007,3.9,68,143564
615,Don Jon,"Comedy,Drama,Romance",2013,24.48,66,199973
616,Bastille Day,"Action,Crime,Drama",2016,0.04,48,21089
617,2307: Winter's Dream,Sci-Fi,2016,20.76,53,277
618,Free State of Jones,"Action,Biography,Drama",2016,,,29895
619,Mr. Right,"Action,Comedy,Romance",2015,0.03,52,30053
620,The Secret Life of Walter Mitty,"Adventure,Comedy,Drama",2013,58.23,54,249877
621,Dope,"Comedy,Crime,Drama",2015,17.47,72,66400
622,Underworld Awakening,"Action,Fantasy,Horror",2012,62.32,39,127157
623,Antichrist,"Drama,Horror",2009,0.4,49,94069
624,Friday the 13th,Horror,2009,65,34,78631
625,Taken 3,"Action,Thriller",2014,89.25,26,144715
626,Total Recall,"Action,Adventure,Mystery",2012,58.88,43,210965
627,X-Men: The Last Stand,"Action,Adventure,Fantasy",2006,234.36,58,406540
628,The Escort,"Comedy,Drama,Romance",2016,,46,7181
629,The Whole Truth,"Crime,Drama,Mystery",2016,,,10700
630,Night at the Museum: Secret of the Tomb,"Adventure,Comedy,Family",2014,113.73,47,74886
631,Love & Other Drugs,"Comedy,Drama,Romance",2010,32.36,55,151519
632,The Interview,Comedy,2014,6.11,52,261536
633,The Host,"Comedy,Drama,Horror",2006,2.2,85,73491
634,Megan Is Missing,"Drama,Horror,Thriller",2011,,94,6683
635,WALL·E,"Animation,Adventure,Family",2008,223.81,,776897
636,Knocked Up,"Comedy,Romance",2007,148.73,85,309398
637,Source Code,"Mystery,Romance,Sci-Fi",2011,54.7,74,404884
638,Lawless,"Crime,Drama",2012,37.4,58,195360
639,Unfriended,"Drama,Horror,Mystery",2014,31.54,59,50402
640,American Reunion,Comedy,2012,56.72,49,178471
641,The Pursuit of Happyness,"Biography,Drama",2006,162.59,64,361105
642,Relatos salvajes,"Comedy,Drama,Thriller",2014,3.08,77,110100
643,The Ridiculous 6,"Comedy,Western",2015,,18,31149
644,Frantz,"Drama,History,War",2016,0.86,73,4304
645,Viral,"Drama,Horror,Sci-Fi",2016,,72,3564
646,Gran Torino,Drama,2008,148.09,,595779
647,Burnt,"Comedy,Drama",2015,13.65,42,76469
648,Tall Men,"Fantasy,Horror,Thriller",2016,,57,173
649,Sleeping Beauty,"Drama,Romance",2011,0.03,,27006
650,Vampire Academy,"Action,Comedy,Fantasy",2014,7.79,30,44111
651,Sweeney Todd: The Demon Barber of Fleet Street,"Drama,Horror,Musical",2007,52.88,83,296289
652,Solace,"Crime,Drama,Mystery",2015,,36,36300
653,Insidious,"Horror,Mystery,Thriller",2010,53.99,52,219916
654,Popstar: Never Stop Never Stopping,"Comedy,Music",2016,9.39,68,30875
655,The Levelling,Drama,2016,,82,482
656,Public Enemies,"Biography,Crime,Drama",2009,97.03,70,240323
657,Boyhood,Drama,2014,25.36,100,286722
658,Teenage Mutant Ninja Turtles,"Action,Adventure,Comedy",2014,190.87,31,178527
659,Eastern Promises,"Crime,Drama,Mystery",2007,17.11,82,198006
660,The Daughter,Drama,2015,0.03,62,2798
661,Pineapple Express,"Action,Comedy,Crime",2008,87.34,64,267872
662,The First Time,"Comedy,Drama,Romance",2012,0.02,55,54027
663,Gone Baby Gone,"Crime,Drama,Mystery",2007,20.3,72,206707
664,The Heat,"Action,Comedy,Crime",2013,159.58,60,140151
665,L'avenir,Drama,2016,0.28,88,5796
666,Anna Karenina,"Drama,Romance",2012,12.8,63,75291
667,Regression,"Crime,Drama,Mystery",2015,0.05,32,26320
668,Ted 2,"Adventure,Comedy,Romance",2015,81.26,48,136323
669,Pain & Gain,"Comedy,Crime,Drama",2013,49.87,45,168875
670,Blood Diamond,"Adventure,Drama,Thriller",2006,57.37,64,422014
671,Devil's Knot,"Biography,Crime,Drama",2013,,42,15514
672,Child 44,"Crime,Drama,Thriller",2015,1.21,41,47703
673,The Hurt Locker,"Drama,History,Thriller",2008,15.7,94,352023
674,Green Lantern,"Action,Adventure,Sci-Fi",2011,116.59,39,231907
675,War on Everyone,"Action,Comedy",2016,,50,9285
676,The Mist,Horror,2007,25.59,58,233346
677,Escape Plan,"Action,Crime,Mystery",2013,25.12,49,188004
678,"Love, Rosie","Comedy,Romance",2014,0.01,44,80415
679,The DUFF,Comedy,2015,34.02,56,57874
680,The Age of Shadows,"Action,Drama,Thriller",2016,0.54,78,2403
681,The Hunger Games: Mockingjay - Part 1,"Action,Adventure,Sci-Fi",2014,337.1,64,331902
682,We Need to Talk About Kevin,"Drama,Mystery,Thriller",2011,1.74,68,104953
683,Love & Friendship,"Comedy,Drama,Romance",2016,14.01,87,16164
684,The Mortal Instruments: City of Bones,"Action,Fantasy,Horror",2013,31.17,33,112313
685,Seven Pounds,"Drama,Romance",2008,69.95,36,245144
686,The King's Speech,"Biography,Drama",2010,138.8,88,534388
687,Hunger,"Biography,Drama",2008,0.15,82,54486
688,Jumper,"Action,Adventure,Sci-Fi",2008,80.17,35,252503
689,Toy Story 3,"Animation,Adventure,Comedy",2010,414.98,92,586669
690,Tinker Tailor Soldier Spy,"Drama,Mystery,Thriller",2011,24.1,85,157053
691,Resident Evil: Retribution,"Action,Horror,Sci-Fi",2012,42.35,39,114144
692,Dear Zindagi,"Drama,Romance",2016,1.4,56,23540
693,Genius,"Biography,Drama",2016,1.36,,10708
694,Pompeii,"Action,Adventure,Drama",2014,23.22,39,90188
695,Life of Pi,"Adventure,Drama,Fantasy",2012,124.98,79,471109
696,Hachi: A Dog's Tale,"Drama,Family",2009,,61,177602
697,10 Years,"Comedy,Drama,Romance",2011,0.2,,19636
698,I Origins,"Drama,Romance,Sci-Fi",2014,0.33,57,86271
699,Live Free or Die Hard,"Action,Adventure,Thriller",2007,134.52,69,347567
700,The Matchbreaker,"Comedy,Romance",2016,,44,1427
701,Funny Games,"Crime,Drama,Horror",2007,1.29,,73835
702,Ted,"Comedy,Fantasy",2012,218.63,62,494641
703,RED,"Action,Comedy,Crime",2010,90.36,60,250012
704,Australia,"Adventure,Drama,Romance",2008,49.55,53,106115
705,Faster,"Action,Crime,Drama",2010,23.23,44,83788
706,The Neighbor,"Crime,Horror,Thriller",2016,,60,4754
707,The Adjustment Bureau,"Romance,Sci-Fi,Thriller",2011,62.45,,208632
708,The Hollars,"Comedy,Drama,Romance",2016,1.02,53,5908
709,The Judge,"Crime,Drama",2014,47.11,48,146812
710,Closed Circuit,"Crime,Drama,Mystery",2013,5.73,50,18437
711,Transformers: Revenge of the Fallen,"Action,Adventure,Sci-Fi",2009,402.08,35,335757
712,La tortue rouge,"Animation,Fantasy",2016,0.92,86,11482
713,The Book of Life,"Animation,Adventure,Comedy",2014,50.15,67,50388
714,Incendies,"Drama,Mystery,War",2010,6.86,80,92863
715,The Heartbreak Kid,"Comedy,Romance",2007,36.77,46,74664
716,Happy Feet,"Animation,Comedy,Family",2006,197.99,77,141141
717,Entourage,Comedy,2015,32.36,38,64557
718,The Strangers,"Horror,Mystery,Thriller",2008,52.53,47,96718
719,Noah,"Action,Adventure,Drama",2014,101.16,68,209700
720,Neighbors,Comedy,2014,150.06,68,236500
721,Nymphomaniac: Vol. II,Drama,2013,0.33,60,65824
722,Wild,"Adventure,Biography,Drama",2014,37.88,76,95553
723,Grown Ups,Comedy,2010,162,30,190385
724,Blair Witch,"Horror,Thriller",2016,20.75,47,26088
725,The Karate Kid,"Action,Drama,Family",2010,176.59,61,127983
726,Dark Shadows,"Comedy,Fantasy,Horror",2012,79.71,55,209326
727,Friends with Benefits,"Comedy,Romance",2011,55.8,63,286543
728,The Illusionist,"Drama,Mystery,Romance",2006,39.83,68,309934
729,The A-Team,"Action,Adventure,Comedy",2010,77.21,47,219116
730,The Guest,Thriller,2014,0.32,76,71069
731,The Internship,Comedy,2013,44.67,42,166342
732,Paul,"Adventure,Comedy,Sci-Fi",2011,37.37,57,201707
733,This Beautiful Fantastic,"Comedy,Drama,Fantasy",2016,,51,688
734,The Da Vinci Code,"Mystery,Thriller",2006,217.54,46,338280
735,Mr. Church,"Comedy,Drama",2016,0.69,37,16163
736,Hugo,"Adventure,Drama,Family",2011,73.82,83,259182
737,The Blackcoat's Daughter,"Horror,Thriller",2015,0.02,68,4155
738,Body of Lies,"Action,Drama,Romance",2008,39.38,57,182305
739,Knight of Cups,"Drama,Romance",2015,0.56,53,17439
740,The Mummy: Tomb of the Dragon Emperor,"Action,Adventure,Fantasy",2008,102.18,31,124554
741,The Boss,Comedy,2016,63.03,40,29642
742,Hands of Stone,"Action,Biography,Drama",2016,4.71,54,8998
743,El secreto de sus ojos,"Drama,Mystery,Romance",2009,20.17,80,144524
744,True Grit,"Adventure,Drama,Western",2010,171.03,80,254904
745,We Are Your Friends,"Drama,Music,Romance",2015,3.59,46,25903
746,A Million Ways to Die in the West,"Comedy,Romance,Western",2014,42.62,44,144779
747,Only for One Night,Thriller,2016,,60,313
748,Rules Don't Apply,"Comedy,Drama,Romance",2016,3.65,,3731
749,Ouija: Origin of Evil,"Horror,Thriller",2016,34.9,65,30035
750,Percy Jackson: Sea of Monsters,"Adventure,Family,Fantasy",2013,68.56,39,91684
751,Fracture,"Crime,Drama,Mystery",2007,39,68,148943
752,Oculus,"Horror,Mystery",2013,27.69,61,92875
753,In Bruges,"Comedy,Crime,Drama",2008,7.76,67,322536
754,This Means War,"Action,Comedy,Romance",2012,54.76,31,154400
755,Lída Baarová,"Biography,Drama,History",2016,,64,353
756,The Road,"Adventure,Drama",2009,0.06,,187302
757,Lavender,"Drama,Thriller",2016,,46,2083
758,Deuces,Drama,2016,,36,256
759,Conan the Barbarian,"Action,Adventure,Fantasy",2011,21.27,,84893
760,The Fighter,"Action,Biography,Drama",2010,93.57,79,290056
761,August Rush,"Drama,Music",2007,31.66,38,91229
762,Chef,"Comedy,Drama",2014,31.24,68,151970
763,Eye in the Sky,"Drama,Thriller,War",2015,18.7,73,57826
764,Eagle Eye,"Action,Mystery,Thriller",2008,101.11,43,156158
765,The Purge,"Horror,Sci-Fi,Thriller",2013,64.42,41,154588
766,PK,"Comedy,Drama,Romance",2014,10.57,51,103279
767,Ender's Game,"Action,Sci-Fi",2013,61.66,,194236
768,Indiana Jones and the Kingdom of the Crystal Skull,"Action,Adventure,Fantasy",2008,317.01,65,351361
769,Paper Towns,"Drama,Mystery,Romance",2015,31.99,56,72515
770,High-Rise,Drama,2015,0.34,65,25928
771,Quantum of Solace,"Action,Adventure,Thriller",2008,168.37,58,347798
772,The Assignment,"Action,Crime,Thriller",2016,,34,2043
773,How to Train Your Dragon,"Animation,Action,Adventure",2010,217.39,74,523893
774,Lady in the Water,"Drama,Fantasy,Mystery",2006,42.27,36,82701
775,The Fountain,"Drama,Sci-Fi",2006,10.14,51,199193
776,Cars 2,"Animation,Adventure,Comedy",2011,191.45,57,110490
777,31,"Horror,Thriller",2016,0.78,35,10871
778,Final Girl,"Action,Thriller",2015,,56,9026
779,Chalk It Up,Comedy,2016,,,499
780,The Man Who Knew Infinity,"Biography,Drama",2015,3.86,,29912
781,Unknown,"Action,Mystery,Thriller",2011,61.09,56,218679
782,Self/less,"Action,Mystery,Sci-Fi",2015,12.28,34,67196
783,Mr. Brooks,"Crime,Drama,Thriller",2007,28.48,45,128146
784,Tramps,"Comedy,Romance",2016,,77,1031
785,Before We Go,"Comedy,Drama,Romance",2014,0.04,31,31370
786,Captain Phillips,"Biography,Drama,Thriller",2013,107.1,83,346154
787,The Secret Scripture,Drama,2016,,37,378
788,Max Steel,"Action,Adventure,Family",2016,3.77,22,11555
789,Hotel Transylvania 2,"Animation,Comedy,Family",2015,169.69,44,69157
790,Hancock,"Action,Crime,Drama",2008,227.95,49,366138
791,Sisters,Comedy,2015,87.03,58,50241
792,The Family,"Comedy,Crime,Thriller",2013,36.92,42,92868
793,Zack and Miri Make a Porno,"Comedy,Romance",2008,31.45,56,154936
794,Ma vie de Courgette,"Animation,Comedy,Drama",2016,0.29,85,4370
795,Man on a Ledge,"Action,Crime,Thriller",2012,18.6,40,129252
796,No Strings Attached,"Comedy,Romance",2011,70.63,50,178243
797,Rescue Dawn,"Adventure,Biography,Drama",2006,5.48,77,87887
798,Despicable Me 2,"Animation,Adventure,Comedy",2013,368.05,62,304837
799,A Walk Among the Tombstones,"Crime,Drama,Mystery",2014,25.98,57,93883
800,The World's End,"Action,Comedy,Sci-Fi",2013,26,81,199813
801,Yoga Hosers,"Comedy,Fantasy,Horror",2016,,23,7091
802,Seven Psychopaths,"Comedy,Crime",2012,14.99,66,196652
803,Beowulf,"Animation,Action,Adventure",2007,82.16,59,146566
804,Jack Ryan: Shadow Recruit,"Action,Drama,Thriller",2014,50.55,57,103681
805,1408,"Fantasy,Horror",2007,71.98,64,221073
806,The Gambler,"Crime,Drama,Thriller",2014,33.63,55,52537
807,Prince of Persia: The Sands of Time,"Action,Adventure,Fantasy",2010,90.76,50,233148
808,The Spectacular Now,"Comedy,Drama,Romance",2013,6.85,82,115751
809,A United Kingdom,"Biography,Drama,Romance",2016,3.9,65,4771
810,USS Indianapolis: Men of Courage,"Action,Drama,History",2016,,30,4964
811,Turbo Kid,"Action,Adventure,Comedy",2015,0.05,60,19309
812,Mama,"Horror,Thriller",2013,71.59,57,142560
813,Orphan,"Horror,Mystery,Thriller",2009,41.57,42,153448
814,To Rome with Love,"Comedy,Romance",2012,16.68,54,72050
815,Fantastic Mr. Fox,"Animation,Adventure,Comedy",2009,21,83,149779
816,Inside Man,"Crime,Drama,Mystery",2006,88.5,76,285441
817,I.T.,"Crime,Drama,Mystery",2016,,27,8755
818,127 Hours,"Adventure,Biography,Drama",2010,18.33,82,294010
819,Annabelle,"Horror,Mystery,Thriller",2014,84.26,37,91106
820,Wolves at the Door,"Horror,Thriller",2016,,63,564
821,Suite Française,"Drama,Romance,War",2014,,,13711
