rank of the week,name,weekly sales,total sales,week after release
64,"Overwatch (PS4)Activision, Shooter",Pro,N/A,122
65,"MLB The Show 18 (PS4)Sony Interactive Entertainment, Sports",Pro,N/A,26
66,"Middle-Earth: Shadow of War (PS4)Warner Bros. Interactive Entertainment, Action",Pro,N/A,50
67,"The Elder Scrolls V: Skyrim (PS4)Bethesda Softworks, Role-Playing",Pro,N/A,100
68,"Tekken 7 (PS4)Namco Bandai Games, Fighting",Pro,N/A,69
69,"FIFA 18 (PS4)Electronic Arts, Sports",Pro,N/A,52
70,"LEGO The Incredibles (PS4)Warner Bros. Interactive Entertainment, Action",Pro,N/A,15
71,"NASCAR Heat 3 (PS4)704Games, Racing",Pro,N/A,3
72,"Burnout Paradise Remastered (PS4)Electronic Arts, Racing",Pro,N/A,28
73,"NHL 19 (XOne)Electronic Arts, Sports",Pro,N/A,2
74,"The Elder Scrolls Online (PS4)Bethesda Softworks, MMO",Pro,N/A,172
75,"Assassin's Creed Origins (PS4)Ubisoft, Action",Pro,N/A,48
1,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","1,130,727","3,552,950",2
2,"NBA 2K19 (PS4)Take-Two Interactive, Sports","775,485","775,485",1
3,"Shadow of the Tomb Raider (PS4)Square Enix, Action-Adventure","485,980","485,980",1
4,"NBA 2K19 (XOne)Take-Two Interactive, Sports","414,997","414,997",1
5,"Shadow of the Tomb Raider (XOne)Square Enix, Action-Adventure","196,471","196,471",1
6,"NHL 19 (PS4)Electronic Arts, Sports","101,256","101,256",1
7,"Madden NFL 19 (PS4)Electronic Arts, Sports","96,823","1,046,301",6
8,"Madden NFL 19 (XOne)Electronic Arts, Sports","77,994","695,211",6
9,"NHL 19 (XOne)Electronic Arts, Sports","63,169","63,169",1
10,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","57,316","9,396,748",73
11,"Dragon Quest XI (PS4)Square Enix, Role-Playing","49,666","1,624,268",60
12,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","49,601","8,088,908",81
13,"Super Mario Odyssey (NS)Nintendo, Platform","39,936","10,106,139",47
14,"Splatoon 2 (NS)Nintendo, Shooter","36,341","6,082,191",61
15,"NBA 2K19 (NS)Take-Two Interactive, Sports","35,988","35,988",1
16,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","33,108","4,917,414",22
17,"Mario Tennis Aces (NS)Nintendo, Sports","30,952","1,293,600",13
18,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","30,249","18,567,340",200
19,"Minecraft (NS)Mojang, Sandbox","29,852","613,712",13
20,"Nintendo Labo: Toy-Con 03 Vehicle Kit (NS)Nintendo, Racing","27,516","27,516",1
21,"Horizon: Zero Dawn (PS4)Sony Interactive Entertainment, Action","27,433","5,247,877",81
22,"Destiny 2: Forsaken (PS4)Activision, Shooter","27,049","86,264",2
23,"Pokemon: Ultra Sun and Ultra Moon (3DS)Nintendo, Role-Playing","25,842","6,643,807",44
24,"Pro Evolution Soccer 2019 (PS4)Konami Digital Entertainment, Sports","24,316","244,484",3
25,"Donkey Kong Country: Tropical Freeze (NS)Nintendo, Platform","21,326","1,108,871",20
26,"Crash Bandicoot N. Sane Trilogy (NS)Activision, Platform","21,135","434,491",12
27,"Detroit: Become Human (PS4)Sony Interactive Entertainment, Adventure","21,009","1,080,969",17
28,"F1 2018 (PS4)Codemasters, Racing","19,873","246,077",4
29,"Monster Hunter Double Cross (NS)Capcom, Action","19,374","422,829",56
30,"PlayerUnknown's Battlegrounds (XOne)Microsoft Studios, Shooter","19,082","1,828,489",40
31,"Project Octopath Traveler (NS)Nintendo, Role-Playing",Pro,N/A,10
32,"The Last of Us (PS4)Sony Computer Entertainment, Action-Adventure",Pro,N/A,216
33,"Destiny 2 (PS4)Activision, Shooter",Pro,N/A,54
34,"Far Cry 5 (PS4)Ubisoft, Action",Pro,N/A,25
35,"Kirby (NS)Nintendo, Platform",Pro,N/A,27
36,"Grand Theft Auto V (XOne)Take-Two Interactive, Action",Pro,N/A,200
37,"Captain Toad: Treasure Tracker (NS)Nintendo, Puzzle",Pro,N/A,10
38,"Mario Kart (3DS)Nintendo, Racing",Pro,N/A,355
39,"Star Wars Battlefront II (2017) (PS4)Electronic Arts, Shooter",Pro,N/A,44
40,"Destiny 2 (XOne)Activision, Shooter",Pro,N/A,54
41,"Firewall: Zero Hour (PS4)Sony Interactive Entertainment, Shooter",Pro,N/A,3
42,"The Elder Scrolls Online (PS4)Bethesda Softworks, MMO",Pro,N/A,171
43,"Call of Duty: WWII (PS4)Activision, Shooter",Pro,N/A,46
44,"Kingdom Hearts 1.5 + 2.5 Remix (PS4)Square Enix, Role-Playing",Pro,N/A,80
45,"Tom Clancy's Rainbow Six: Siege (PS4)Ubisoft, Shooter",Pro,N/A,146
46,"Crash Bandicoot N.Sane Trilogy (XOne)Activision, Platform",Pro,N/A,12
47,"Naruto to Boruto: Shinobi Striker (PS4)Namco Bandai Games, Action",Pro,N/A,3
48,"Black Clover: Quartet Knights (PS4)Bandai Namco Entertainment, Shooter",Pro,N/A,1
49,"Yokai Watch Busters (3DS)Level 5, Role-Playing",Pro,N/A,167
50,"Crash Bandicoot N. Sane Trilogy (PS4)Activision, Platform",Pro,N/A,64
51,"The Elder Scrolls V: Skyrim (PS4)Bethesda Softworks, Role-Playing",Pro,N/A,99
52,"FIFA 18 (PS4)Electronic Arts, Sports",Pro,N/A,51
53,"Resident Evil VII: Biohazard (PS4)Capcom, Action",Pro,N/A,86
54,"Gran Turismo Sport (PS4)Sony Interactive Entertainment, Racing",Pro,N/A,48
55,"Ni no Kuni II: Revenant Kingdom (PS4)Namco Bandai Games, Role-Playing",Pro,N/A,26
56,"Overwatch (PS4)Activision, Shooter",Pro,N/A,121
57,"The Crew 2 (PS4)Ubisoft, Racing",Pro,N/A,12
58,"Destiny 2: Forsaken (XOne)Activision, Shooter",Pro,N/A,2
59,"Zone of the Enders: The 2nd Runner M∀RS (PS4)Konami Digital Entertainment, Simulation",Pro,N/A,2
60,"PlayStation VR Worlds (PS4)Sony Interactive Entertainment, Misc",Pro,N/A,101
61,"Tom Clancy's Rainbow Six: Siege (XOne)Ubisoft, Shooter",Pro,N/A,146
62,"Conan Exiles (PS4)Maximum Games, Action-Adventure",Pro,N/A,19
63,"WarioWare Gold (3DS)Nintendo, Misc",Pro,N/A,8
64,"LEGO The Incredibles (PS4)Warner Bros. Interactive Entertainment, Action",Pro,N/A,14
65,"MineCraft (PS4)Sony Computer Entertainment, Misc",Pro,N/A,207
66,"Shenmue I & II (PS4)Sega, Action-Adventure",Pro,N/A,4
67,"Assassin's Creed Origins (PS4)Ubisoft, Action",Pro,N/A,47
68,"The Elder Scrolls V: Skyrim PSVR (PS4)Bethesda Softworks, Role-Playing",Pro,N/A,44
69,"LEGO Marvel Super Heroes 2 (PS4)Warner Bros. Interactive Entertainment, Action",Pro,N/A,44
70,"Sonic Mania (PS4)Sega, Platform",Pro,N/A,57
71,"Tekken 7 (PS4)Namco Bandai Games, Fighting",Pro,N/A,68
72,"Animal Crossing: New Leaf (3DS)Nintendo, Simulation",Pro,N/A,306
73,"MLB The Show 18 (PS4)Sony Interactive Entertainment, Sports",Pro,N/A,25
74,"NASCAR Heat 3 (PS4)704Games, Racing",Pro,N/A,2
75,"EA Sports UFC 3 (PS4)Electronic Arts, Sports",Pro,N/A,33
1,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","2,422,223","2,422,223",1
2,"Dragon Quest XI (PS4)Square Enix, Role-Playing","146,988","1,574,602",59
3,"Madden NFL 19 (PS4)Electronic Arts, Sports","80,847","949,478",5
4,"Madden NFL 19 (XOne)Electronic Arts, Sports","64,291","617,217",5
5,"Pro Evolution Soccer 2019 (PS4)Konami Digital Entertainment, Sports","61,549","220,168",2
6,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","60,606","9,339,432",72
7,"Destiny 2: Forsaken (PS4)Activision, Shooter","59,215","59,215",1
8,"Super Mario Odyssey (NS)Nintendo, Platform","41,504","10,066,203",46
9,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","41,304","18,537,091",199
10,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","41,053","4,884,306",21
11,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","37,079","8,039,307",80
12,"Splatoon 2 (NS)Nintendo, Shooter","34,625","6,045,850",60
13,"F1 2018 (PS4)Codemasters, Racing","33,936","226,204",3
14,"Monster Hunter Double Cross (NS)Capcom, Action","33,610","403,455",55
15,"Minecraft (NS)Mojang, Sandbox","33,283","583,860",12
16,"Zone of the Enders: The 2nd Runner M∀RS (PS4)Konami Digital Entertainment, Simulation","33,273","33,273",1
17,"Mario Tennis Aces (NS)Nintendo, Sports","30,876","1,262,648",12
18,"Destiny 2: Forsaken (XOne)Activision, Shooter","28,853","28,853",1
19,"Firewall: Zero Hour (PS4)Sony Interactive Entertainment, Shooter","28,063","67,936",2
20,"Horizon: Zero Dawn (PS4)Sony Interactive Entertainment, Action","27,037","5,220,444",80
21,"Naruto to Boruto: Shinobi Striker (PS4)Namco Bandai Games, Action","26,001","106,094",2
22,"Pokemon: Ultra Sun and Ultra Moon (3DS)Nintendo, Role-Playing","24,934","6,617,965",43
23,"Grand Theft Auto V (XOne)Take-Two Interactive, Action","24,402","8,164,658",199
24,"Yokai Watch Busters (3DS)Level 5, Role-Playing","22,306","2,325,831",166
25,"PlayerUnknown's Battlegrounds (XOne)Microsoft Studios, Shooter","21,950","1,809,407",39
26,"Detroit: Become Human (PS4)Sony Interactive Entertainment, Adventure","21,920","1,059,960",16
27,"Crash Bandicoot N. Sane Trilogy (NS)Activision, Platform","20,466","413,356",11
28,"Donkey Kong Country: Tropical Freeze (NS)Nintendo, Platform","20,054","1,087,545",19
29,"NBA Live 19 (PS4)Electronic Arts, Sports","19,162","19,162",1
30,"Far Cry 5 (PS4)Ubisoft, Action","19,113","3,601,442",24
31,"Captain Toad: Treasure Tracker (NS)Nintendo, Puzzle",Pro,N/A,9
32,"Project Octopath Traveler (NS)Nintendo, Role-Playing",Pro,N/A,9
33,"PlayStation VR Worlds (PS4)Sony Interactive Entertainment, Misc",Pro,N/A,100
34,"NASCAR Heat 3 (PS4)704Games, Racing",Pro,N/A,1
35,"SNK Heroines Tag Team Frenzy (NS)Nippon Ichi Software, Fighting",Pro,N/A,1
36,"Mario Kart (3DS)Nintendo, Racing",Pro,N/A,354
37,"Tom Clancy's Rainbow Six: Siege (PS4)Ubisoft, Shooter",Pro,N/A,145
38,"The Last of Us (PS4)Sony Computer Entertainment, Action-Adventure",Pro,N/A,215
39,"FIFA 18 (PS4)Electronic Arts, Sports",Pro,N/A,50
40,"Yakuza Kiwami 2 (PS4)Sega, Action",Pro,N/A,40
41,"Call of Duty: WWII (PS4)Activision, Shooter",Pro,N/A,45
42,"Star Wars Battlefront II (2017) (PS4)Electronic Arts, Shooter",Pro,N/A,43
43,"Kirby (NS)Nintendo, Platform",Pro,N/A,26
44,"Gran Turismo Sport (PS4)Sony Interactive Entertainment, Racing",Pro,N/A,47
45,"NASCAR Heat 3 (XOne)704Games, Racing",Pro,N/A,1
46,"NBA Live 19 (XOne)Electronic Arts, Sports",Pro,N/A,1
47,"Naruto to Boruto: Shinobi Striker (XOne)Namco Bandai Games, Action",Pro,N/A,2
48,"Crash Bandicoot N. Sane Trilogy (PS4)Activision, Platform",Pro,N/A,63
49,"Assassin's Creed Origins (PS4)Ubisoft, Action",Pro,N/A,46
50,"The Crew 2 (PS4)Ubisoft, Racing",Pro,N/A,11
51,"Destiny 2 (PS4)Activision, Shooter",Pro,N/A,53
52,"Shenmue I & II (PS4)Sega, Action-Adventure",Pro,N/A,3
53,"Resident Evil VII: Biohazard (PS4)Capcom, Action",Pro,N/A,85
54,"Far Cry 5 (XOne)Ubisoft, Action",Pro,N/A,24
55,"Crash Bandicoot N.Sane Trilogy (XOne)Activision, Platform",Pro,N/A,11
56,"Overwatch (PS4)Activision, Shooter",Pro,N/A,120
57,"Destiny 2 (XOne)Activision, Shooter",Pro,N/A,53
58,"LEGO The Incredibles (PS4)Warner Bros. Interactive Entertainment, Action",Pro,N/A,13
59,"Go Vacation (NS)Nintendo, Misc",Pro,N/A,7
60,"Sea of Thieves (XOne)Microsoft Studios, Action-Adventure",Pro,N/A,25
61,"F1 2018 (XOne)Codemasters, Racing",Pro,N/A,3
62,"Wolfenstein II: The New Colossus (PS4)Bethesda Softworks, Shooter",Pro,N/A,46
63,"The Elder Scrolls Online (PS4)Bethesda Softworks, MMO",Pro,N/A,170
64,"Conan Exiles (PS4)Maximum Games, Action-Adventure",Pro,N/A,18
65,"Animal Crossing: New Leaf (3DS)Nintendo, Simulation",Pro,N/A,305
66,"MineCraft (PS4)Sony Computer Entertainment, Misc",Pro,N/A,206
67,"SNK Heroines Tag Team Frenzy (PS4)SNK, Fighting",Pro,N/A,1
68,"Ni no Kuni II: Revenant Kingdom (PS4)Namco Bandai Games, Role-Playing",Pro,N/A,25
69,"Sonic Mania (PS4)Sega, Platform",Pro,N/A,56
70,"LEGO Marvel Super Heroes 2 (PS4)Warner Bros. Interactive Entertainment, Action",Pro,N/A,43
71,"1-2-Switch (NS)Nintendo, Party",Pro,N/A,80
72,"The Sims 4 (PS4)Electronic Arts, Simulation",Pro,N/A,43
73,"MLB The Show 18 (PS4)Sony Interactive Entertainment, Sports",Pro,N/A,24
74,"Jurassic World Evolution (PS4)Frontier Developments, Simulation",Pro,N/A,10
75,"MineCraft (XOne)Microsoft Studios, Misc",Pro,N/A,199
1,"Pro Evolution Soccer 2019 (PS4)Konami Digital Entertainment, Sports","158,619","158,619",1
2,"Monster Hunter Double Cross (NS)Capcom, Action","116,061","369,845",54
3,"Yakuza Kiwami 2 (PS4)Sega, Action","83,517","275,211",39
4,"Naruto to Boruto: Shinobi Striker (PS4)Namco Bandai Games, Action","80,093","80,093",1
5,"Madden NFL 19 (PS4)Electronic Arts, Sports","66,309","868,631",4
6,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","63,695","9,278,826",71
7,"F1 2018 (PS4)Codemasters, Racing","56,487","192,268",2
8,"Madden NFL 19 (XOne)Electronic Arts, Sports","49,024","552,926",4
9,"Naruto to Boruto: Shinobi Striker (XOne)Namco Bandai Games, Action","44,566","44,566",1
10,"Splatoon 2 (NS)Nintendo, Shooter","41,448","6,011,225",59
11,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","40,131","4,843,253",20
12,"Firewall: Zero Hour (PS4)Sony Interactive Entertainment, Shooter","39,873","39,873",1
13,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","37,433","8,002,228",79
14,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","37,199","18,495,787",198
15,"Super Mario Odyssey (NS)Nintendo, Platform","36,223","10,024,699",45
16,"Minecraft (NS)Mojang, Sandbox","35,345","550,577",11
17,"Mario Tennis Aces (NS)Nintendo, Sports","34,025","1,231,772",11
18,"PlayerUnknown's Battlegrounds (XOne)Microsoft Studios, Shooter","28,175","1,787,457",38
19,"Strange Brigade (PS4)Rebellion Developments, Shooter","25,072","25,072",1
20,"Grand Theft Auto V (XOne)Take-Two Interactive, Action","24,503","8,140,256",198
21,"Detroit: Become Human (PS4)Sony Interactive Entertainment, Adventure","23,634","1,038,040",15
22,"Pokemon: Ultra Sun and Ultra Moon (3DS)Nintendo, Role-Playing","22,280","6,593,031",42
23,"Captain Toad: Treasure Tracker (NS)Nintendo, Puzzle","21,160","423,474",8
24,"Horizon: Zero Dawn (PS4)Sony Interactive Entertainment, Action","20,809","5,193,407",79
25,"Donkey Kong Country: Tropical Freeze (NS)Nintendo, Platform","20,711","1,067,491",18
26,"Far Cry 5 (PS4)Ubisoft, Action","20,512","3,582,329",23
27,"Fire Pro Wrestling World (PS4)Spike Chunsoft, Fighting","20,166","43,564",4
28,"Conan Exiles (PS4)Maximum Games, Action-Adventure","19,201","145,826",17
29,"Project Octopath Traveler (NS)Nintendo, Role-Playing","18,814","660,392",8
30,"Blade Strangers (NS)Nicalis, Fighting","18,210","18,210",1
31,"FIFA 18 (PS4)Electronic Arts, Sports",Pro,N/A,49
32,"Call of Duty: WWII (PS4)Activision, Shooter",Pro,N/A,44
33,"Shenmue I & II (PS4)Sega, Action-Adventure",Pro,N/A,2
34,"Tom Clancy's Rainbow Six: Siege (PS4)Ubisoft, Shooter",Pro,N/A,144
35,"PlayStation VR Worlds (PS4)Sony Interactive Entertainment, Misc",Pro,N/A,99
36,"Kirby (NS)Nintendo, Platform",Pro,N/A,25
37,"F1 2018 (XOne)Codemasters, Racing",Pro,N/A,2
38,"The Crew 2 (PS4)Ubisoft, Racing",Pro,N/A,10
39,"Gran Turismo Sport (PS4)Sony Interactive Entertainment, Racing",Pro,N/A,46
40,"Assassin's Creed Origins (PS4)Ubisoft, Action",Pro,N/A,45
41,"Little Dragon Cafe (NS)Aksys Games, Simulation",Pro,N/A,2
42,"The Last of Us (PS4)Sony Computer Entertainment, Action-Adventure",Pro,N/A,214
43,"Overwatch (PS4)Activision, Shooter",Pro,N/A,119
44,"Pro Evolution Soccer 2019 (XOne)Konami Digital Entertainment, Sports",Pro,N/A,1
45,"Strange Brigade (XOne)Rebellion Developments, Shooter",Pro,N/A,1
46,"Mario Kart (3DS)Nintendo, Racing",Pro,N/A,353
47,"Crash Bandicoot N. Sane Trilogy (NS)Activision, Platform",Pro,N/A,10
48,"Star Wars Battlefront II (2017) (PS4)Electronic Arts, Shooter",Pro,N/A,42
49,"Far Cry 5 (XOne)Ubisoft, Action",Pro,N/A,23
50,"Sea of Thieves (XOne)Microsoft Studios, Action-Adventure",Pro,N/A,24
51,"Middle-Earth: Shadow of War (PS4)Warner Bros. Interactive Entertainment, Action",Pro,N/A,47
52,"Crash Bandicoot N.Sane Trilogy (XOne)Activision, Platform",Pro,N/A,10
53,"Resident Evil VII: Biohazard (PS4)Capcom, Action",Pro,N/A,84
54,"Crash Bandicoot N. Sane Trilogy (PS4)Activision, Platform",Pro,N/A,62
55,"WarioWare Gold (3DS)Nintendo, Misc",Pro,N/A,6
56,"Go Vacation (NS)Nintendo, Misc",Pro,N/A,6
57,"Destiny 2 (PS4)Activision, Shooter",Pro,N/A,52
58,"The Sims 4 (PS4)Electronic Arts, Simulation",Pro,N/A,42
59,"Overwatch (XOne)Activision, Shooter",Pro,N/A,119
60,"MineCraft (PS4)Sony Computer Entertainment, Misc",Pro,N/A,205
61,"Ni no Kuni II: Revenant Kingdom (PS4)Namco Bandai Games, Role-Playing",Pro,N/A,24
62,"MLB The Show 18 (PS4)Sony Interactive Entertainment, Sports",Pro,N/A,23
63,"Sonic Mania (NS)Sega, Platform",Pro,N/A,55
64,"Call of Duty 6 (X360)Activision, Shooter",Pro,N/A,460
65,"Uncharted (PS4) (PS4)Sony Interactive Entertainment, Action",Pro,N/A,121
66,"Jurassic World Evolution (PS4)Frontier Developments, Simulation",Pro,N/A,9
67,"Taiko no Tatsujin: Drum 'n' Fun! (NS)Namco Bandai Games, Music",Pro,N/A,7
68,"Dead Cells (NS)Merge Games, Action",Pro,N/A,3
69,"LEGO The Incredibles (PS4)Warner Bros. Interactive Entertainment, Action",Pro,N/A,12
70,"Destiny 2 (XOne)Activision, Shooter",Pro,N/A,52
71,"Monster Hunter: World (PS4)Capcom, Action",Pro,N/A,32
72,"Middle-Earth: Shadow of War (XOne)Warner Bros. Interactive Entertainment, Action",Pro,N/A,47
73,"Tom Clancy's Rainbow Six: Siege (XOne)Ubisoft, Shooter",Pro,N/A,144
74,"1-2-Switch (NS)Nintendo, Party",Pro,N/A,79
75,"Call of Duty: WWII (XOne)Activision, Shooter",Pro,N/A,44
1,"F1 2018 (PS4)Codemasters, Racing","135,781","135,781",1
2,"Shenmue I & II (PS4)Sega, Action-Adventure","87,676","87,676",1
3,"Madden NFL 19 (PS4)Electronic Arts, Sports","87,632","802,322",3
4,"Madden NFL 19 (XOne)Electronic Arts, Sports","67,394","503,902",3
5,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","62,938","9,215,131",70
6,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","41,255","7,964,795",78
7,"Splatoon 2 (NS)Nintendo, Shooter","39,931","5,969,777",58
8,"Minecraft (NS)Mojang, Sandbox","38,463","515,232",10
9,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","37,191","4,803,122",19
10,"Mario Tennis Aces (NS)Nintendo, Sports","35,604","1,197,747",10
11,"Super Mario Odyssey (NS)Nintendo, Platform","35,109","9,988,476",44
12,"F1 2018 (XOne)Codemasters, Racing","34,174","34,174",1
13,"Conan Exiles (PS4)Maximum Games, Action-Adventure","33,016","126,625",16
14,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","30,255","18,458,588",197
15,"Captain Toad: Treasure Tracker (NS)Nintendo, Puzzle","25,189","402,314",7
16,"Pokemon: Ultra Sun and Ultra Moon (3DS)Nintendo, Role-Playing","23,703","6,570,751",41
17,"My Hero One's Justice (NS)Bandai Namco Entertainment, Fighting","23,573","23,573",1
18,"Detroit: Become Human (PS4)Sony Interactive Entertainment, Adventure","22,833","1,014,406",14
19,"PlayerUnknown's Battlegrounds (XOne)Microsoft Studios, Shooter","21,927","1,759,282",37
20,"Grand Theft Auto V (XOne)Take-Two Interactive, Action","21,020","8,115,753",197
21,"Donkey Kong Country: Tropical Freeze (NS)Nintendo, Platform","20,435","1,046,780",17
22,"Shenmue I & II (XOne)Sega, Action-Adventure","20,295","20,295",1
23,"Project Octopath Traveler (NS)Nintendo, Role-Playing","19,082","641,578",7
24,"Kirby (NS)Nintendo, Platform","19,050","1,516,756",24
25,"Far Cry 5 (PS4)Ubisoft, Action","17,570","3,561,817",22
26,"The Crew 2 (PS4)Ubisoft, Racing","17,112","485,110",9
27,"Little Dragon Cafe (NS)Aksys Games, Simulation","16,994","16,994",1
28,"Call of Duty: WWII (PS4)Activision, Shooter","16,586","13,066,446",43
29,"My Hero One's Justice (PS4)Bandai Namco Entertainment, Fighting","15,947","15,947",1
30,"Horizon: Zero Dawn (PS4)Sony Interactive Entertainment, Action","15,687","5,172,598",78
31,"FIFA 18 (PS4)Electronic Arts, Sports",Pro,N/A,48
32,"Assassin's Creed Origins (PS4)Ubisoft, Action",Pro,N/A,44
33,"Tom Clancy's Rainbow Six: Siege (PS4)Ubisoft, Shooter",Pro,N/A,143
34,"Crash Bandicoot N. Sane Trilogy (NS)Activision, Platform",Pro,N/A,9
35,"LEGO The Incredibles (NS)Warner Bros. Interactive Entertainment, Action",Pro,N/A,11
36,"WarioWare Gold (3DS)Nintendo, Misc",Pro,N/A,5
37,"The Last of Us (PS4)Sony Computer Entertainment, Action-Adventure",Pro,N/A,213
38,"Tom Clancy's Rainbow Six: Siege (XOne)Ubisoft, Shooter",Pro,N/A,143
39,"Sea of Thieves (XOne)Microsoft Studios, Action-Adventure",Pro,N/A,23
40,"Star Wars Battlefront II (2017) (PS4)Electronic Arts, Shooter",Pro,N/A,41
41,"Go Vacation (NS)Nintendo, Misc",Pro,N/A,5
42,"Destiny 2 (PS4)Activision, Shooter",Pro,N/A,51
43,"PlayStation VR Worlds (PS4)Sony Interactive Entertainment, Misc",Pro,N/A,98
44,"Mario Kart (3DS)Nintendo, Racing",Pro,N/A,352
45,"Monster Hunter: World (PS4)Capcom, Action",Pro,N/A,31
46,"Taiko no Tatsujin: Drum 'n' Fun! (NS)Namco Bandai Games, Music",Pro,N/A,6
47,"Dead Cells (NS)Merge Games, Action",Pro,N/A,2
48,"Ni no Kuni II: Revenant Kingdom (PS4)Namco Bandai Games, Role-Playing",Pro,N/A,23
49,"Overwatch (PS4)Activision, Shooter",Pro,N/A,118
50,"Crash Bandicoot N.Sane Trilogy (XOne)Activision, Platform",Pro,N/A,9
51,"Destiny 2 (XOne)Activision, Shooter",Pro,N/A,51
52,"Call of Duty: WWII (XOne)Activision, Shooter",Pro,N/A,43
53,"The Crew 2 (XOne)Ubisoft, Racing",Pro,N/A,9
54,"LEGO The Incredibles (PS4)Warner Bros. Interactive Entertainment, Action",Pro,N/A,11
55,"MLB The Show 18 (PS4)Sony Interactive Entertainment, Sports",Pro,N/A,22
56,"FIFA 18 (NS)Electronic Arts, Sports",Pro,N/A,48
57,"1-2-Switch (NS)Nintendo, Party",Pro,N/A,78
58,"Hello Neighbor (PS4)Gearbox Software, Action",Pro,N/A,5
59,"Far Cry 5 (XOne)Ubisoft, Action",Pro,N/A,22
60,"Overwatch (XOne)Activision, Shooter",Pro,N/A,118
61,"FIFA 18 (XOne)Electronic Arts, Sports",Pro,N/A,48
62,"Middle-Earth: Shadow of War (PS4)Warner Bros. Interactive Entertainment, Action",Pro,N/A,46
63,"Gran Turismo Sport (PS4)Sony Interactive Entertainment, Racing",Pro,N/A,45
64,"Jurassic World Evolution (PS4)Frontier Developments, Simulation",Pro,N/A,8
65,"Little Dragon Cafe (PS4)Aksys Games, Simulation",Pro,N/A,1
66,"LEGO Marvel Super Heroes 2 (PS4)Warner Bros. Interactive Entertainment, Action",Pro,N/A,41
67,"Mario + Rabbids Kingdom Battle (NS)Ubisoft, Strategy",Pro,N/A,52
68,"Sonic Mania (PS4)Sega, Platform",Pro,N/A,54
69,"Resident Evil VII: Biohazard (PS4)Capcom, Action",Pro,N/A,83
70,"Sonic Mania (NS)Sega, Platform",Pro,N/A,54
71,"MineCraft (PS4)Sony Computer Entertainment, Misc",Pro,N/A,204
72,"The Elder Scrolls V: Skyrim (PS4)Bethesda Softworks, Role-Playing",Pro,N/A,96
73,"We Happy Few (PS4)Gearbox Software, Action-Adventure",Pro,N/A,3
74,"Crash Bandicoot N. Sane Trilogy (PS4)Activision, Platform",Pro,N/A,61
75,"Nintendo Labo: Toy-Con 01 Variety Kit (NS)Nintendo, Misc",Pro,N/A,19
1,"Madden NFL 19 (PS4)Electronic Arts, Sports","196,998","714,690",2
2,"Madden NFL 19 (XOne)Electronic Arts, Sports","114,253","436,508",2
3,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","84,750","9,152,193",69
4,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","57,646","7,923,540",77
5,"Splatoon 2 (NS)Nintendo, Shooter","48,724","5,929,846",57
6,"Super Mario Odyssey (NS)Nintendo, Platform","48,315","9,953,367",43
7,"World of Warcraft: Battle for Azeroth (PC)Activision, MMO","44,782","44,782",1
8,"Mario Tennis Aces (NS)Nintendo, Sports","44,421","1,162,143",9
9,"Minecraft (NS)Mojang, Sandbox","43,758","476,769",9
10,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","39,392","4,765,931",18
11,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","35,232","18,428,333",196
12,"Captain Toad: Treasure Tracker (NS)Nintendo, Puzzle","34,417","377,125",6
13,"Pokemon: Ultra Sun and Ultra Moon (3DS)Nintendo, Role-Playing","27,423","6,547,048",40
14,"WarioWare Gold (3DS)Nintendo, Misc","25,810","120,951",4
15,"Project Octopath Traveler (NS)Nintendo, Role-Playing","25,598","622,496",6
16,"Donkey Kong Country: Tropical Freeze (NS)Nintendo, Platform","25,569","1,026,345",16
17,"Taiko no Tatsujin: Drum 'n' Fun! (NS)Namco Bandai Games, Music","22,271","165,667",5
18,"Grand Theft Auto V (XOne)Take-Two Interactive, Action","22,150","8,094,733",196
19,"Dead Cells (NS)Merge Games, Action","19,322","19,322",1
20,"Detroit: Become Human (PS4)Sony Interactive Entertainment, Adventure","19,113","991,573",13
21,"Kirby (NS)Nintendo, Platform","18,557","1,497,706",23
22,"Crash Bandicoot N. Sane Trilogy (NS)Activision, Platform","17,454","366,920",8
